Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por intercambio (2). Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5830.0
Costo promedio (Población): 5952,36
Tiempo total de ejecución: 885.0 ms
Tiempo promedio por generación: 0,89 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17187.0
Mejor fitness en iteración 268: 5939.0
Mejor fitness en iteración 269: 5937.0
Mejor fitness en iteración 270: 5937.0
Mejor fitness en iteración 271: 5939.0
Mejor fitness en iteración 272: 5938.0
Mejor fitness en iteración 273: 5915.0
Mejor fitness en iteración 274: 5939.0
Mejor fitness en iteración 275: 5939.0
Mejor fitness en iteración 276: 5939.0
Mejor fitness en iteración 277: 5931.0
Mejor fitness en iteración 278: 5939.0
Mejor fitness en iteración 279: 5939.0
Mejor fitness en iteración 280: 5939.0
Mejor fitness en iteración 281: 5939.0
Mejor fitness en iteración 282: 5939.0
Mejor fitness en iteración 283: 5930.0
Mejor fitness en iteración 284: 5930.0
Mejor fitness en iteración 285: 5930.0
Mejor fitness en iteración 286: 5930.0
Mejor fitness en iteración 287: 5930.0
Mejor fitness en iteración 288: 5930.0
Mejor fitness en iteración 289: 5920.0
Mejor fitness en iteración 290: 5920.0
Mejor fitness en iteración 291: 5920.0
Mejor fitness en iteración 292: 5920.0
Mejor fitness en iteración 293: 5920.0
Mejor fitness en iteración 294: 5920.0
Mejor fitness en iteración 295: 5920.0
Mejor fitness en iteración 296: 5920.0
Mejor fitness en iteración 297: 5921.0
Mejor fitness en iteración 298: 5921.0
Mejor fitness en iteración 299: 5921.0
Mejor fitness en iteración 300: 5921.0
Mejor fitness en iteración 301: 5921.0
Mejor fitness en iteración 302: 5926.0
Mejor fitness en iteración 303: 5926.0
Mejor fitness en iteración 304: 5926.0
Mejor fitness en iteración 305: 5926.0
Mejor fitness en iteración 306: 5926.0
Mejor fitness en iteración 307: 5930.0
Mejor fitness en iteración 308: 5921.0
Mejor fitness en iteración 309: 5930.0
Mejor fitness en iteración 310: 5923.0
Mejor fitness en iteración 311: 5926.0
Mejor fitness en iteración 312: 5907.0
Mejor fitness en iteración 313: 5869.0
Mejor fitness en iteración 314: 5909.0
Mejor fitness en iteración 315: 5909.0
Mejor fitness en iteración 316: 5930.0
Mejor fitness en iteración 317: 5930.0
Mejor fitness en iteración 318: 5930.0
Mejor fitness en iteración 319: 5930.0
Mejor fitness en iteración 320: 5930.0
Mejor fitness en iteración 321: 5930.0
Mejor fitness en iteración 322: 5939.0
Mejor fitness en iteración 323: 5939.0
Mejor fitness en iteración 324: 5939.0
Mejor fitness en iteración 325: 5939.0
Mejor fitness en iteración 326: 5909.0
Mejor fitness en iteración 327: 5909.0
Mejor fitness en iteración 328: 5909.0
Mejor fitness en iteración 329: 5894.0
Mejor fitness en iteración 330: 5909.0
Mejor fitness en iteración 331: 5909.0
Mejor fitness en iteración 332: 5909.0
Mejor fitness en iteración 333: 5909.0
Mejor fitness en iteración 334: 5909.0
Mejor fitness en iteración 335: 5909.0
Mejor fitness en iteración 336: 5909.0
Mejor fitness en iteración 337: 5909.0
Mejor fitness en iteración 338: 5909.0
Mejor fitness en iteración 339: 5909.0
Mejor fitness en iteración 340: 5909.0
Mejor fitness en iteración 341: 5909.0
Mejor fitness en iteración 342: 5906.0
Mejor fitness en iteración 343: 5899.0
Mejor fitness en iteración 344: 5906.0
Mejor fitness en iteración 345: 5909.0
Mejor fitness en iteración 346: 5905.0
Mejor fitness en iteración 347: 5909.0
Mejor fitness en iteración 348: 5909.0
