Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 216: 5635.0
Mejor fitness en iteración 217: 5635.0
Mejor fitness en iteración 218: 5635.0
Mejor fitness en iteración 219: 5635.0
Mejor fitness en iteración 220: 5635.0
Mejor fitness en iteración 221: 5635.0
Mejor fitness en iteración 222: 5635.0
Mejor fitness en iteración 223: 5635.0
Mejor fitness en iteración 224: 5635.0
Mejor fitness en iteración 225: 5635.0
Mejor fitness en iteración 226: 5635.0
Mejor fitness en iteración 227: 5635.0
Mejor fitness en iteración 228: 5635.0
Mejor fitness en iteración 229: 5635.0
Mejor fitness en iteración 230: 5635.0
Mejor fitness en iteración 231: 5635.0
Mejor fitness en iteración 232: 5635.0
Mejor fitness en iteración 233: 5635.0
Mejor fitness en iteración 234: 5635.0
Mejor fitness en iteración 235: 5635.0
Mejor fitness en iteración 236: 5635.0
Mejor fitness en iteración 237: 5635.0
Mejor fitness en iteración 238: 5635.0
Mejor fitness en iteración 239: 5635.0
Mejor fitness en iteración 240: 5635.0
Mejor fitness en iteración 241: 5635.0
Mejor fitness en iteración 242: 5635.0
Mejor fitness en iteración 243: 5635.0
Mejor fitness en iteración 244: 5635.0
Mejor fitness en iteración 245: 5635.0
Mejor fitness en iteración 246: 5635.0
Mejor fitness en iteración 247: 5635.0
Mejor fitness en iteración 248: 5635.0
Mejor fitness en iteración 249: 5635.0
Mejor fitness en iteración 250: 5635.0
Mejor fitness en iteración 251: 5635.0
Mejor fitness en iteración 252: 5635.0
Mejor fitness en iteración 253: 5635.0
Mejor fitness en iteración 254: 5635.0
Mejor fitness en iteración 255: 5635.0
Mejor fitness en iteración 256: 5635.0
Mejor fitness en iteración 257: 5635.0
Mejor fitness en iteración 258: 5635.0
Mejor fitness en iteración 259: 5635.0
Mejor fitness en iteración 260: 5635.0
Mejor fitness en iteración 261: 5635.0
Mejor fitness en iteración 262: 5635.0
Mejor fitness en iteración 263: 5635.0
Mejor fitness en iteración 264: 5635.0
Mejor fitness en iteración 265: 5635.0
Mejor fitness en iteración 266: 5635.0
Mejor fitness en iteración 267: 5635.0
Mejor fitness en iteración 268: 5635.0
Mejor fitness en iteración 269: 5635.0
Mejor fitness en iteración 270: 5635.0
Mejor fitness en iteración 271: 5635.0
Mejor fitness en iteración 272: 5635.0
Mejor fitness en iteración 273: 5635.0
Mejor fitness en iteración 274: 5635.0
Mejor fitness en iteración 275: 5635.0
Mejor fitness en iteración 276: 5635.0
Mejor fitness en iteración 277: 5635.0
Mejor fitness en iteración 278: 5635.0
Mejor fitness en iteración 279: 5635.0
Mejor fitness en iteración 280: 5635.0
Mejor fitness en iteración 281: 5635.0
Mejor fitness en iteración 282: 5635.0
Mejor fitness en iteración 283: 5635.0
Mejor fitness en iteración 284: 5635.0
Mejor fitness en iteración 285: 5635.0
Mejor fitness en iteración 286: 5635.0
Mejor fitness en iteración 287: 5635.0
Mejor fitness en iteración 288: 5635.0
Mejor fitness en iteración 289: 5635.0
Mejor fitness en iteración 290: 5635.0
Mejor fitness en iteración 291: 5635.0
Mejor fitness en iteración 292: 5635.0
Mejor fitness en iteración 293: 5635.0
Mejor fitness en iteración 294: 5635.0
Mejor fitness en iteración 295: 5635.0
Mejor fitness en iteración 296: 5635.0
Mejor fitness en iteración 297: 5635.0
Mejor fitness en iteración 298: 5635.0
Mejor fitness en iteración 299: 5635.0
Mejor fitness en iteración 300: 5635.0
Mejor fitness en iteración 301: 5635.0
Mejor fitness en iteración 302: 5635.0
Mejor fitness en iteración 303: 5635.0
Mejor fitness en iteración 304: 5635.0
Mejor fitness en iteración 305: 5635.0
Mejor fitness en iteración 306: 5635.0
Mejor fitness en iteración 307: 5635.0
Mejor fitness en iteración 308: 5635.0
Mejor fitness en iteración 309: 5635.0
Mejor fitness en iteración 310: 5635.0
Mejor fitness en iteración 311: 5635.0
Mejor fitness en iteración 312: 5635.0
Mejor fitness en iteración 313: 5635.0
Mejor fitness en iteración 314: 5635.0
Mejor fitness en iteración 315: 5635.0
Mejor fitness en iteración 316: 5635.0
Mejor fitness en iteración 317: 5635.0
Mejor fitness en iteración 318: 5635.0
Mejor fitness en iteración 319: 5635.0
Mejor fitness en iteración 320: 5635.0
Mejor fitness en iteración 321: 5635.0
Mejor fitness en iteración 322: 5635.0
Mejor fitness en iteración 323: 5635.0
Mejor fitness en iteración 324: 5635.0
Mejor fitness en iteración 325: 5635.0
Mejor fitness en iteración 326: 5635.0
Mejor fitness en iteración 327: 5635.0
