Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5633.0
Costo promedio (Población): 5633,00
Tiempo total de ejecución: 878.0 ms
Tiempo promedio por generación: 0,88 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11884.0
Mejor fitness en iteración 382: 5647.0
Mejor fitness en iteración 383: 5647.0
Mejor fitness en iteración 384: 5647.0
Mejor fitness en iteración 385: 5647.0
Mejor fitness en iteración 386: 5647.0
Mejor fitness en iteración 387: 5647.0
Mejor fitness en iteración 388: 5647.0
Mejor fitness en iteración 389: 5647.0
Mejor fitness en iteración 390: 5647.0
Mejor fitness en iteración 391: 5647.0
Mejor fitness en iteración 392: 5647.0
Mejor fitness en iteración 393: 5647.0
Mejor fitness en iteración 394: 5647.0
Mejor fitness en iteración 395: 5647.0
Mejor fitness en iteración 396: 5647.0
Mejor fitness en iteración 397: 5647.0
Mejor fitness en iteración 398: 5647.0
Mejor fitness en iteración 399: 5647.0
Mejor fitness en iteración 400: 5647.0
Mejor fitness en iteración 401: 5647.0
Mejor fitness en iteración 402: 5647.0
Mejor fitness en iteración 403: 5647.0
Mejor fitness en iteración 404: 5647.0
Mejor fitness en iteración 405: 5647.0
Mejor fitness en iteración 406: 5647.0
Mejor fitness en iteración 407: 5647.0
Mejor fitness en iteración 408: 5647.0
Mejor fitness en iteración 409: 5647.0
Mejor fitness en iteración 410: 5647.0
Mejor fitness en iteración 411: 5647.0
Mejor fitness en iteración 412: 5647.0
Mejor fitness en iteración 413: 5647.0
Mejor fitness en iteración 414: 5647.0
Mejor fitness en iteración 415: 5647.0
Mejor fitness en iteración 416: 5647.0
Mejor fitness en iteración 417: 5643.0
Mejor fitness en iteración 418: 5637.0
Mejor fitness en iteración 419: 5637.0
Mejor fitness en iteración 420: 5637.0
Mejor fitness en iteración 421: 5637.0
Mejor fitness en iteración 422: 5637.0
Mejor fitness en iteración 423: 5637.0
Mejor fitness en iteración 424: 5637.0
Mejor fitness en iteración 425: 5637.0
Mejor fitness en iteración 426: 5637.0
Mejor fitness en iteración 427: 5637.0
Mejor fitness en iteración 428: 5637.0
