Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 20
Fitness mejor solución:    5638.0
Costo promedio (Población): 5634,40
Tiempo total de ejecución: 911.0 ms
Tiempo promedio por generación: 0,91 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11797.0
Mejor fitness en iteración 317: 5638.0
Mejor fitness en iteración 318: 5638.0
Mejor fitness en iteración 319: 5638.0
Mejor fitness en iteración 320: 5638.0
Mejor fitness en iteración 321: 5638.0
Mejor fitness en iteración 322: 5638.0
Mejor fitness en iteración 323: 5638.0
Mejor fitness en iteración 324: 5638.0
Mejor fitness en iteración 325: 5638.0
Mejor fitness en iteración 326: 5638.0
Mejor fitness en iteración 327: 5638.0
Mejor fitness en iteración 328: 5638.0
Mejor fitness en iteración 329: 5638.0
Mejor fitness en iteración 330: 5638.0
Mejor fitness en iteración 331: 5638.0
Mejor fitness en iteración 332: 5638.0
Mejor fitness en iteración 333: 5638.0
Mejor fitness en iteración 334: 5638.0
Mejor fitness en iteración 335: 5638.0
Mejor fitness en iteración 336: 5638.0
Mejor fitness en iteración 337: 5638.0
Mejor fitness en iteración 338: 5638.0
Mejor fitness en iteración 339: 5638.0
Mejor fitness en iteración 340: 5638.0
Mejor fitness en iteración 341: 5638.0
Mejor fitness en iteración 342: 5638.0
Mejor fitness en iteración 343: 5638.0
Mejor fitness en iteración 344: 5638.0
Mejor fitness en iteración 345: 5638.0
Mejor fitness en iteración 346: 5638.0
Mejor fitness en iteración 347: 5638.0
Mejor fitness en iteración 348: 5638.0
Mejor fitness en iteración 349: 5638.0
Mejor fitness en iteración 350: 5638.0
Mejor fitness en iteración 351: 5638.0
Mejor fitness en iteración 352: 5638.0
Mejor fitness en iteración 353: 5638.0
Mejor fitness en iteración 354: 5638.0
Mejor fitness en iteración 355: 5638.0
Mejor fitness en iteración 356: 5638.0
Mejor fitness en iteración 357: 5638.0
Mejor fitness en iteración 358: 5638.0
Mejor fitness en iteración 359: 5638.0
Mejor fitness en iteración 360: 5638.0
Mejor fitness en iteración 361: 5638.0
Mejor fitness en iteración 362: 5638.0
Mejor fitness en iteración 363: 5638.0
Mejor fitness en iteración 364: 5638.0
Mejor fitness en iteración 365: 5638.0
Mejor fitness en iteración 366: 5638.0
Mejor fitness en iteración 367: 5638.0
Mejor fitness en iteración 368: 5638.0
Mejor fitness en iteración 369: 5638.0
Mejor fitness en iteración 370: 5638.0
Mejor fitness en iteración 371: 5638.0
Mejor fitness en iteración 372: 5638.0
Mejor fitness en iteración 373: 5638.0
Mejor fitness en iteración 374: 5638.0
Mejor fitness en iteración 375: 5638.0
Mejor fitness en iteración 376: 5638.0
Mejor fitness en iteración 377: 5638.0
Mejor fitness en iteración 378: 5638.0
Mejor fitness en iteración 379: 5638.0
Mejor fitness en iteración 380: 5638.0
Mejor fitness en iteración 381: 5638.0
Mejor fitness en iteración 382: 5638.0
Mejor fitness en iteración 383: 5638.0
Mejor fitness en iteración 384: 5638.0
Mejor fitness en iteración 385: 5638.0
Mejor fitness en iteración 386: 5638.0
Mejor fitness en iteración 387: 5638.0
Mejor fitness en iteración 388: 5638.0
Mejor fitness en iteración 389: 5638.0
Mejor fitness en iteración 390: 5638.0
Mejor fitness en iteración 391: 5638.0
Mejor fitness en iteración 392: 5638.0
Mejor fitness en iteración 393: 5636.0
Mejor fitness en iteración 394: 5636.0
Mejor fitness en iteración 395: 5636.0
Mejor fitness en iteración 396: 5636.0
Mejor fitness en iteración 397: 5636.0
Mejor fitness en iteración 398: 5636.0
Mejor fitness en iteración 399: 5636.0
Mejor fitness en iteración 400: 5636.0
Mejor fitness en iteración 401: 5636.0
Mejor fitness en iteración 402: 5636.0
Mejor fitness en iteración 403: 5636.0
Mejor fitness en iteración 404: 5636.0
Mejor fitness en iteración 405: 5636.0
Mejor fitness en iteración 406: 5636.0
Mejor fitness en iteración 407: 5636.0
Mejor fitness en iteración 408: 5636.0
Mejor fitness en iteración 409: 5636.0
Mejor fitness en iteración 410: 5636.0
Mejor fitness en iteración 411: 5636.0
Mejor fitness en iteración 412: 5636.0
Mejor fitness en iteración 413: 5636.0
Mejor fitness en iteración 414: 5636.0
Mejor fitness en iteración 415: 5636.0
Mejor fitness en iteración 416: 5636.0
Mejor fitness en iteración 417: 5636.0
Mejor fitness en iteración 418: 5636.0
Mejor fitness en iteración 419: 5636.0
Mejor fitness en iteración 420: 5636.0
Mejor fitness en iteración 421: 5636.0
Mejor fitness en iteración 422: 5636.0
Mejor fitness en iteración 423: 5636.0
Mejor fitness en iteración 424: 5636.0
Mejor fitness en iteración 425: 5636.0
Mejor fitness en iteración 426: 5636.0
Mejor fitness en iteración 427: 5636.0
Mejor fitness en iteración 428: 5636.0
Mejor fitness en iteración 429: 5636.0
Mejor fitness en iteración 430: 5636.0
Mejor fitness en iteración 431: 5636.0
Mejor fitness en iteración 432: 5636.0
Mejor fitness en iteración 433: 5636.0
Mejor fitness en iteración 434: 5636.0
Mejor fitness en iteración 435: 5636.0
Mejor fitness en iteración 436: 5636.0
Mejor fitness en iteración 437: 5636.0
Mejor fitness en iteración 438: 5636.0
Mejor fitness en iteración 439: 5636.0
Mejor fitness en iteración 440: 5636.0
Mejor fitness en iteración 441: 5636.0
Mejor fitness en iteración 442: 5636.0
Mejor fitness en iteración 443: 5636.0
Mejor fitness en iteración 444: 5636.0
Mejor fitness en iteración 445: 5636.0
Mejor fitness en iteración 446: 5636.0
Mejor fitness en iteración 447: 5636.0
Mejor fitness en iteración 448: 5636.0
Mejor fitness en iteración 449: 5636.0
Mejor fitness en iteración 450: 5636.0
Mejor fitness en iteración 451: 5636.0
Mejor fitness en iteración 452: 5636.0
Mejor fitness en iteración 453: 5636.0
Mejor fitness en iteración 454: 5636.0
Mejor fitness en iteración 455: 5636.0
Mejor fitness en iteración 456: 5636.0
Mejor fitness en iteración 457: 5636.0
Mejor fitness en iteración 458: 5636.0
Mejor fitness en iteración 459: 5636.0
Mejor fitness en iteración 460: 5636.0
Mejor fitness en iteración 461: 5636.0
Mejor fitness en iteración 462: 5636.0
Mejor fitness en iteración 463: 5636.0
Mejor fitness en iteración 464: 5636.0
Mejor fitness en iteración 465: 5636.0
Mejor fitness en iteración 466: 5636.0
Mejor fitness en iteración 467: 5636.0
Mejor fitness en iteración 468: 5636.0
Mejor fitness en iteración 469: 5636.0
Mejor fitness en iteración 470: 5636.0
Mejor fitness en iteración 471: 5636.0
Mejor fitness en iteración 472: 5636.0
Mejor fitness en iteración 473: 5636.0
Mejor fitness en iteración 474: 5636.0
Mejor fitness en iteración 475: 5636.0
Mejor fitness en iteración 476: 5636.0
Mejor fitness en iteración 477: 5636.0
Mejor fitness en iteración 478: 5636.0
Mejor fitness en iteración 479: 5636.0
Mejor fitness en iteración 480: 5636.0
Mejor fitness en iteración 481: 5636.0
Mejor fitness en iteración 482: 5636.0
Mejor fitness en iteración 483: 5636.0
Mejor fitness en iteración 484: 5636.0
Mejor fitness en iteración 485: 5636.0
Mejor fitness en iteración 486: 5636.0
Mejor fitness en iteración 487: 5636.0
Mejor fitness en iteración 488: 5636.0
Mejor fitness en iteración 489: 5636.0
Mejor fitness en iteración 490: 5636.0
Mejor fitness en iteración 491: 5636.0
Mejor fitness en iteración 492: 5636.0
Mejor fitness en iteración 493: 5636.0
Mejor fitness en iteración 494: 5636.0
Mejor fitness en iteración 495: 5636.0
Mejor fitness en iteración 496: 5636.0
Mejor fitness en iteración 497: 5636.0
Mejor fitness en iteración 498: 5636.0
Mejor fitness en iteración 499: 5636.0
Mejor fitness en iteración 500: 5636.0
Mejor fitness en iteración 501: 5636.0
Mejor fitness en iteración 502: 5636.0
Mejor fitness en iteración 503: 5636.0
Mejor fitness en iteración 504: 5636.0
Mejor fitness en iteración 505: 5636.0
Mejor fitness en iteración 506: 5636.0
Mejor fitness en iteración 507: 5636.0
Mejor fitness en iteración 508: 5636.0
Mejor fitness en iteración 509: 5636.0
Mejor fitness en iteración 510: 5636.0
Mejor fitness en iteración 511: 5636.0
Mejor fitness en iteración 512: 5636.0
Mejor fitness en iteración 513: 5636.0
Mejor fitness en iteración 514: 5636.0
Mejor fitness en iteración 515: 5636.0
Mejor fitness en iteración 516: 5636.0
Mejor fitness en iteración 517: 5636.0
Mejor fitness en iteración 518: 5636.0
Mejor fitness en iteración 519: 5636.0
Mejor fitness en iteración 520: 5636.0
Mejor fitness en iteración 521: 5636.0
Mejor fitness en iteración 522: 5636.0
Mejor fitness en iteración 523: 5636.0
Mejor fitness en iteración 524: 5636.0
Mejor fitness en iteración 525: 5636.0
Mejor fitness en iteración 526: 5636.0
Mejor fitness en iteración 527: 5636.0
Mejor fitness en iteración 528: 5636.0
Mejor fitness en iteración 529: 5636.0
Mejor fitness en iteración 530: 5636.0
Mejor fitness en iteración 531: 5636.0
Mejor fitness en iteración 532: 5636.0
Mejor fitness en iteración 533: 5636.0
Mejor fitness en iteración 534: 5636.0
Mejor fitness en iteración 535: 5636.0
Mejor fitness en iteración 536: 5636.0
