Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5625.0
Costo promedio (Población): 5625,00
Tiempo total de ejecución: 842.0 ms
Tiempo promedio por generación: 0,84 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11813.0
Mejor fitness en iteración 295: 5643.0
Mejor fitness en iteración 296: 5643.0
Mejor fitness en iteración 297: 5643.0
Mejor fitness en iteración 298: 5643.0
Mejor fitness en iteración 299: 5643.0
Mejor fitness en iteración 300: 5633.0
Mejor fitness en iteración 301: 5633.0
Mejor fitness en iteración 302: 5633.0
Mejor fitness en iteración 303: 5633.0
Mejor fitness en iteración 304: 5633.0
Mejor fitness en iteración 305: 5633.0
Mejor fitness en iteración 306: 5633.0
Mejor fitness en iteración 307: 5633.0
Mejor fitness en iteración 308: 5633.0
Mejor fitness en iteración 309: 5633.0
Mejor fitness en iteración 310: 5633.0
Mejor fitness en iteración 311: 5633.0
Mejor fitness en iteración 312: 5633.0
Mejor fitness en iteración 313: 5633.0
Mejor fitness en iteración 314: 5633.0
Mejor fitness en iteración 315: 5633.0
Mejor fitness en iteración 316: 5633.0
Mejor fitness en iteración 317: 5633.0
Mejor fitness en iteración 318: 5633.0
Mejor fitness en iteración 319: 5633.0
Mejor fitness en iteración 320: 5633.0
Mejor fitness en iteración 321: 5633.0
Mejor fitness en iteración 322: 5633.0
Mejor fitness en iteración 323: 5633.0
Mejor fitness en iteración 324: 5633.0
Mejor fitness en iteración 325: 5633.0
Mejor fitness en iteración 326: 5633.0
Mejor fitness en iteración 327: 5633.0
Mejor fitness en iteración 328: 5633.0
Mejor fitness en iteración 329: 5633.0
Mejor fitness en iteración 330: 5633.0
Mejor fitness en iteración 331: 5633.0
Mejor fitness en iteración 332: 5633.0
Mejor fitness en iteración 333: 5633.0
Mejor fitness en iteración 334: 5633.0
Mejor fitness en iteración 335: 5633.0
Mejor fitness en iteración 336: 5633.0
Mejor fitness en iteración 337: 5633.0
Mejor fitness en iteración 338: 5633.0
Mejor fitness en iteración 339: 5633.0
Mejor fitness en iteración 340: 5633.0
Mejor fitness en iteración 341: 5633.0
Mejor fitness en iteración 342: 5633.0
Mejor fitness en iteración 343: 5633.0
Mejor fitness en iteración 344: 5631.0
Mejor fitness en iteración 345: 5631.0
Mejor fitness en iteración 346: 5631.0
Mejor fitness en iteración 347: 5631.0
Mejor fitness en iteración 348: 5631.0
Mejor fitness en iteración 349: 5631.0
Mejor fitness en iteración 350: 5631.0
Mejor fitness en iteración 351: 5631.0
Mejor fitness en iteración 352: 5631.0
Mejor fitness en iteración 353: 5631.0
Mejor fitness en iteración 354: 5631.0
Mejor fitness en iteración 355: 5631.0
Mejor fitness en iteración 356: 5631.0
Mejor fitness en iteración 357: 5631.0
Mejor fitness en iteración 358: 5631.0
Mejor fitness en iteración 359: 5631.0
Mejor fitness en iteración 360: 5631.0
Mejor fitness en iteración 361: 5631.0
Mejor fitness en iteración 362: 5631.0
Mejor fitness en iteración 363: 5631.0
Mejor fitness en iteración 364: 5631.0
Mejor fitness en iteración 365: 5631.0
Mejor fitness en iteración 366: 5631.0
Mejor fitness en iteración 367: 5631.0
Mejor fitness en iteración 368: 5631.0
Mejor fitness en iteración 369: 5631.0
Mejor fitness en iteración 370: 5631.0
Mejor fitness en iteración 371: 5631.0
Mejor fitness en iteración 372: 5631.0
Mejor fitness en iteración 373: 5631.0
Mejor fitness en iteración 374: 5631.0
Mejor fitness en iteración 375: 5631.0
Mejor fitness en iteración 376: 5631.0
Mejor fitness en iteración 377: 5631.0
Mejor fitness en iteración 378: 5629.0
Mejor fitness en iteración 379: 5629.0
Mejor fitness en iteración 380: 5629.0
Mejor fitness en iteración 381: 5629.0
Mejor fitness en iteración 382: 5629.0
Mejor fitness en iteración 383: 5629.0
Mejor fitness en iteración 384: 5629.0
Mejor fitness en iteración 385: 5629.0
Mejor fitness en iteración 386: 5629.0
Mejor fitness en iteración 387: 5629.0
Mejor fitness en iteración 388: 5629.0
Mejor fitness en iteración 389: 5629.0
Mejor fitness en iteración 390: 5629.0
Mejor fitness en iteración 391: 5629.0
Mejor fitness en iteración 392: 5629.0
Mejor fitness en iteración 393: 5629.0
Mejor fitness en iteración 394: 5629.0
Mejor fitness en iteración 395: 5629.0
Mejor fitness en iteración 396: 5629.0
Mejor fitness en iteración 397: 5629.0
Mejor fitness en iteración 398: 5629.0
Mejor fitness en iteración 399: 5629.0
Mejor fitness en iteración 400: 5629.0
Mejor fitness en iteración 401: 5629.0
Mejor fitness en iteración 402: 5629.0
Mejor fitness en iteración 403: 5629.0
Mejor fitness en iteración 404: 5629.0
Mejor fitness en iteración 405: 5629.0
Mejor fitness en iteración 406: 5629.0
Mejor fitness en iteración 407: 5629.0
Mejor fitness en iteración 408: 5629.0
Mejor fitness en iteración 409: 5629.0
Mejor fitness en iteración 410: 5629.0
Mejor fitness en iteración 411: 5629.0
Mejor fitness en iteración 412: 5629.0
Mejor fitness en iteración 413: 5629.0
Mejor fitness en iteración 414: 5629.0
Mejor fitness en iteración 415: 5629.0
Mejor fitness en iteración 416: 5629.0
Mejor fitness en iteración 417: 5629.0
Mejor fitness en iteración 418: 5629.0
Mejor fitness en iteración 419: 5629.0
Mejor fitness en iteración 420: 5629.0
Mejor fitness en iteración 421: 5629.0
Mejor fitness en iteración 422: 5629.0
Mejor fitness en iteración 423: 5629.0
Mejor fitness en iteración 424: 5629.0
Mejor fitness en iteración 425: 5629.0
Mejor fitness en iteración 426: 5629.0
Mejor fitness en iteración 427: 5629.0
Mejor fitness en iteración 428: 5629.0
Mejor fitness en iteración 429: 5629.0
Mejor fitness en iteración 430: 5629.0
Mejor fitness en iteración 431: 5629.0
Mejor fitness en iteración 432: 5629.0
Mejor fitness en iteración 433: 5629.0
Mejor fitness en iteración 434: 5629.0
Mejor fitness en iteración 435: 5629.0
Mejor fitness en iteración 436: 5629.0
Mejor fitness en iteración 437: 5629.0
Mejor fitness en iteración 438: 5629.0
Mejor fitness en iteración 439: 5629.0
Mejor fitness en iteración 440: 5629.0
Mejor fitness en iteración 441: 5629.0
Mejor fitness en iteración 442: 5629.0
Mejor fitness en iteración 443: 5629.0
Mejor fitness en iteración 444: 5629.0
Mejor fitness en iteración 445: 5629.0
Mejor fitness en iteración 446: 5629.0
Mejor fitness en iteración 447: 5629.0
Mejor fitness en iteración 448: 5629.0
